item_id,user_id,rating,timestamp,model_attr,Price(Dollar),Number of reviews,category,brand,year,split
0,0,5,13-06-1999,Female,27,"82,773",Portable Audio & Video,,1999,0
0,1,5,14-06-1999,Female,54,"5,121",Portable Audio & Video,,1999,0
0,2,3,17-06-1999,Female,24,"1,26,957",Portable Audio & Video,,1999,0
0,3,1,01-07-1999,Female,15,"18,837",Portable Audio & Video,,1999,0
0,4,2,06-07-1999,Female,78,"13,141",Portable Audio & Video,,1999,0
0,5,2,12-07-1999,Female,30,"11,748",Portable Audio & Video,,1999,0
0,6,5,13-07-1999,Female,28,"26,724",Portable Audio & Video,,1999,0
0,7,2,13-07-1999,Female,127,"5,762",Portable Audio & Video,,1999,0
0,8,4,16-07-1999,Female,12,"33,877",Portable Audio & Video,,1999,0
0,9,5,20-08-1999,Female,19,"8,765",Portable Audio & Video,,1999,0
0,10,1,24-08-1999,Female,14,"1,661",Portable Audio & Video,,1999,0
0,11,1,04-10-1999,Female,99,"7,304",Portable Audio & Video,,1999,0
0,12,5,10-10-1999,Female,39,"7,409",Portable Audio & Video,,1999,0
0,13,5,12-10-1999,Female,22,"4,027",Portable Audio & Video,,1999,0
1,14,4,17-10-1999,Female,10,"10,101",Computers & Accessories,HP,2000,0
0,15,5,21-10-1999,Female,14,"5,953",Portable Audio & Video,,1999,0
2,16,4,25-10-1999,Female&Male,12,"3,113",Headphones,,2000,0
0,17,5,29-10-1999,Female,16,"11,539",Portable Audio & Video,,1999,0
0,18,1,06-11-1999,Female,110,"7,574",Portable Audio & Video,,1999,0
0,19,3,09-11-1999,Female,16,"10,803",Portable Audio & Video,,1999,0
0,20,4,10-11-1999,Female,99,"7,947",Portable Audio & Video,,1999,0
0,21,4,14-11-1999,Female,6,"57,662",Portable Audio & Video,,1999,0
0,22,1,23-11-1999,Female,7,"31,091",Portable Audio & Video,,1999,0
0,23,3,24-11-1999,Female,49,"2,020",Portable Audio & Video,,1999,0
0,24,4,26-11-1999,Female,134,"1,680",Portable Audio & Video,,1999,0
0,25,5,27-11-1999,Female,139,"3,479",Portable Audio & Video,,1999,0
0,26,5,29-11-1999,Female,7,"72,951",Portable Audio & Video,,1999,0
0,27,5,30-11-1999,Female,46,"1,066",Portable Audio & Video,,1999,0
0,28,2,01-12-1999,Female,13,"2,563",Portable Audio & Video,,1999,0
0,29,2,02-12-1999,Female,131,"41,637",Portable Audio & Video,,1999,0
0,30,5,02-12-1999,Female,59,"1,808",Portable Audio & Video,,1999,0
0,31,4,02-12-1999,Female,168,492,Portable Audio & Video,,1999,0
0,32,3,04-12-1999,Female,12,"14,845",Portable Audio & Video,,1999,0
0,33,4,04-12-1999,Female,12,"15,081",Portable Audio & Video,,1999,0
2,34,5,05-12-1999,Female&Male,9,"1,935",Headphones,,2000,0
0,35,5,06-12-1999,Female,84,"3,013",Portable Audio & Video,,1999,0
0,36,4,07-12-1999,Female,59,"1,631",Portable Audio & Video,,1999,0
0,37,5,07-12-1999,Female,99,"6,019",Portable Audio & Video,,1999,0
0,38,2,07-12-1999,Female,79,"4,806",Portable Audio & Video,,1999,0
0,39,5,08-12-1999,Female,89,"2,673",Portable Audio & Video,,1999,0
0,40,5,10-12-1999,Female,149,"2,556",Portable Audio & Video,,1999,0
0,41,2,10-12-1999,Female,82,"5,195",Portable Audio & Video,,1999,0
1,42,5,13-12-1999,Female,179,"2,703",Computers & Accessories,HP,2000,0
0,43,4,22-12-1999,Female,34,"7,339",Portable Audio & Video,,1999,0
0,44,5,27-12-1999,Female,5,66,Portable Audio & Video,,1999,0
0,45,5,28-12-1999,Female,14,"15,641",Portable Audio & Video,,1999,0
0,46,5,30-12-1999,Female,16,"9,491",Portable Audio & Video,,1999,0
0,47,5,03-01-2000,Female,39,830,Portable Audio & Video,,1999,0
0,48,1,04-01-2000,Female,379,"4,947",Portable Audio & Video,,1999,0
0,49,4,06-01-2000,Female,279,129,Portable Audio & Video,,1999,0
0,50,4,06-01-2000,Female,299,76,Portable Audio & Video,,1999,0
0,51,1,06-01-2000,Female,32,"1,274",Portable Audio & Video,,1999,0
0,52,4,07-01-2000,Female,44,"13,224",Portable Audio & Video,,1999,0
0,53,1,09-01-2000,Female,279,"6,041",Portable Audio & Video,,1999,0
0,54,5,12-01-2000,Female,132,86,Portable Audio & Video,,1999,0
0,55,5,14-01-2000,Female,13,"5,607",Portable Audio & Video,,1999,0
0,56,5,17-01-2000,Female,39,"18,920",Portable Audio & Video,,1999,0
0,57,5,22-01-2000,Female,259,"9,421",Portable Audio & Video,,1999,0
0,58,4,24-01-2000,Female,11,"1,915",Portable Audio & Video,,1999,0
0,59,5,29-01-2000,Female,121,"5,352",Portable Audio & Video,,1999,0
0,60,5,31-01-2000,Female,26,"2,732",Portable Audio & Video,,1999,0
0,61,3,01-02-2000,Female,159,"5,758",Portable Audio & Video,,1999,0
0,62,5,01-02-2000,Female,29,"2,717",Portable Audio & Video,,1999,0
0,63,3,14-02-2000,Female,133,"2,667",Portable Audio & Video,,1999,0
0,64,3,15-02-2000,Female,39,829,Portable Audio & Video,,1999,0
0,65,1,19-02-2000,Female,21,"5,518",Portable Audio & Video,,1999,0
0,66,3,21-02-2000,Female,22,"8,805",Portable Audio & Video,,1999,0
0,67,2,27-02-2000,Female,155,"1,773",Portable Audio & Video,,1999,0
0,68,5,28-02-2000,Female,99,"2,233",Portable Audio & Video,,1999,0
0,69,4,29-02-2000,Female,21,641,Portable Audio & Video,,1999,0
